/ SCAPS Absorption Data - CdS1
/ lambda[nm]	alpha[m^-1]
6.120000e+02	9.026319e+06
6.130000e+02	9.009326e+06
6.140000e+02	8.990204e+06
6.150000e+02	8.969539e+06
6.160000e+02	8.961119e+06
6.170000e+02	8.944525e+06
6.180000e+02	8.935452e+06
6.190000e+02	8.923529e+06
6.200000e+02	8.901059e+06
6.210000e+02	8.873116e+06
6.220000e+02	8.878654e+06
6.230000e+02	8.859151e+06
6.240000e+02	8.832539e+06
6.250000e+02	8.831977e+06
6.260000e+02	8.813841e+06
6.270000e+02	8.801011e+06
6.280000e+02	8.791278e+06
6.290000e+02	8.775669e+06
6.300000e+02	8.761718e+06
6.310000e+02	8.759455e+06
6.320000e+02	8.748242e+06
6.330000e+02	8.732588e+06
6.340000e+02	8.713702e+06
6.350000e+02	8.697832e+06
6.360000e+02	8.690518e+06
6.370000e+02	8.676483e+06
6.380000e+02	8.667377e+06
6.390000e+02	8.654771e+06
6.400000e+02	8.638366e+06
6.410000e+02	8.629065e+06
6.420000e+02	8.599992e+06
6.430000e+02	8.588604e+06
6.440000e+02	8.568009e+06
6.450000e+02	8.568009e+06
6.460000e+02	8.548509e+06
6.470000e+02	8.544814e+06
6.480000e+02	8.527280e+06
6.490000e+02	8.528303e+06
6.500000e+02	8.514132e+06
6.510000e+02	8.486546e+06
6.520000e+02	8.482591e+06
6.530000e+02	8.471459e+06
6.540000e+02	8.455898e+06
6.550000e+02	8.446673e+06
6.560000e+02	8.438939e+06
6.570000e+02	8.430695e+06
6.580000e+02	8.419004e+06
6.590000e+02	8.411128e+06
6.600000e+02	8.390788e+06
6.610000e+02	8.371405e+06
6.620000e+02	8.354302e+06
6.630000e+02	8.341368e+06
6.640000e+02	8.333576e+06
6.650000e+02	8.318747e+06
6.660000e+02	8.307485e+06
6.670000e+02	8.303413e+06
6.680000e+02	8.298567e+06
6.690000e+02	8.280917e+06
6.700000e+02	8.253509e+06
6.710000e+02	8.248798e+06
6.720000e+02	8.234920e+06
6.730000e+02	8.239038e+06
6.740000e+02	8.213331e+06
6.750000e+02	8.205041e+06
6.760000e+02	8.185891e+06
6.770000e+02	8.191095e+06
6.780000e+02	8.168425e+06
6.790000e+02	8.160224e+06
6.800000e+02	8.160462e+06
6.810000e+02	8.151978e+06
6.820000e+02	8.131658e+06
6.830000e+02	8.131399e+06
6.840000e+02	8.120048e+06
6.850000e+02	8.105286e+06
6.860000e+02	8.084007e+06
6.870000e+02	8.088756e+06
6.880000e+02	8.064204e+06
6.890000e+02	8.053128e+06
6.900000e+02	8.034531e+06
6.910000e+02	8.033160e+06
6.920000e+02	8.027328e+06
6.930000e+02	8.022800e+06
6.940000e+02	8.022937e+06
6.950000e+02	7.992003e+06
6.960000e+02	7.992832e+06
6.970000e+02	7.961525e+06
6.980000e+02	7.948810e+06
6.990000e+02	7.955644e+06
7.000000e+02	7.940452e+06
7.010000e+02	7.954842e+06
7.020000e+02	7.937819e+06
7.030000e+02	7.936393e+06
7.040000e+02	7.924378e+06
7.050000e+02	7.900317e+06
7.060000e+02	7.899068e+06
7.070000e+02	7.888043e+06
7.080000e+02	7.866516e+06
7.090000e+02	7.856550e+06
7.100000e+02	7.856113e+06
7.110000e+02	7.854566e+06
7.120000e+02	7.831314e+06
7.130000e+02	7.800125e+06
7.140000e+02	7.803981e+06
7.150000e+02	7.789277e+06
7.160000e+02	7.801661e+06
7.170000e+02	7.800980e+06
7.180000e+02	7.766132e+06
7.190000e+02	7.748452e+06
7.200000e+02	7.752762e+06
7.210000e+02	7.749206e+06
7.220000e+02	7.761280e+06
7.230000e+02	7.737682e+06
7.240000e+02	7.729607e+06
7.250000e+02	7.706599e+06
7.260000e+02	7.689005e+06
7.270000e+02	7.664993e+06
7.280000e+02	7.656874e+06
7.290000e+02	7.638708e+06
7.300000e+02	7.659616e+06
7.310000e+02	7.624451e+06
7.320000e+02	7.630632e+06
7.330000e+02	7.631267e+06
7.340000e+02	7.610505e+06
7.350000e+02	7.589305e+06
7.360000e+02	7.605685e+06
7.370000e+02	7.593950e+06
7.380000e+02	7.620089e+06
7.390000e+02	7.596000e+06
7.400000e+02	7.542539e+06
7.410000e+02	7.533781e+06
7.420000e+02	7.549533e+06
7.430000e+02	7.538569e+06
7.440000e+02	7.503034e+06
7.450000e+02	7.491985e+06
7.460000e+02	7.485651e+06
7.470000e+02	7.508669e+06
7.480000e+02	7.482712e+06
7.490000e+02	7.495584e+06
7.500000e+02	7.431473e+06
7.510000e+02	7.453517e+06
7.520000e+02	7.452878e+06
7.530000e+02	7.441679e+06
7.540000e+02	7.411706e+06
7.550000e+02	7.439475e+06
7.560000e+02	7.410703e+06
7.570000e+02	7.405037e+06
7.580000e+02	7.388861e+06
7.590000e+02	7.390076e+06
7.600000e+02	7.356271e+06
7.610000e+02	7.359690e+06
7.620000e+02	7.356439e+06
7.630000e+02	7.357890e+06
7.640000e+02	7.334326e+06
7.650000e+02	7.349543e+06
7.660000e+02	7.285949e+06
7.670000e+02	7.311546e+06
7.680000e+02	7.336724e+06
7.690000e+02	7.254020e+06
7.700000e+02	7.224910e+06
7.710000e+02	7.267955e+06
7.720000e+02	7.291480e+06
7.730000e+02	7.266900e+06
7.740000e+02	7.289759e+06
7.750000e+02	7.233744e+06
7.760000e+02	7.233862e+06
7.770000e+02	7.255603e+06
7.780000e+02	7.199279e+06
7.790000e+02	7.174766e+06
7.800000e+02	7.161356e+06
7.810000e+02	7.156489e+06
7.820000e+02	7.167015e+06
7.830000e+02	7.170813e+06
7.840000e+02	7.153024e+06
7.850000e+02	7.152454e+06
7.860000e+02	7.150473e+06
7.870000e+02	7.173802e+06
7.880000e+02	7.136750e+06
7.890000e+02	7.122894e+06
7.900000e+02	7.148377e+06
7.910000e+02	7.105724e+06
7.920000e+02	7.084913e+06
7.930000e+02	7.109041e+06
7.940000e+02	7.145936e+06
7.950000e+02	7.097296e+06
7.960000e+02	7.050131e+06
7.970000e+02	7.106363e+06
7.980000e+02	7.067171e+06
7.990000e+02	7.046853e+06
8.000000e+02	7.034497e+06
8.010000e+02	6.999338e+06
8.020000e+02	7.018268e+06
8.030000e+02	6.995440e+06
8.040000e+02	7.026650e+06
8.050000e+02	7.044245e+06
8.060000e+02	7.024104e+06
8.070000e+02	7.043795e+06
8.080000e+02	7.033653e+06
8.090000e+02	7.018591e+06
8.100000e+02	6.909158e+06
8.110000e+02	6.948014e+06
8.120000e+02	6.969869e+06
8.130000e+02	6.927731e+06
8.140000e+02	6.912614e+06
8.150000e+02	6.917375e+06
8.160000e+02	6.908663e+06
8.170000e+02	6.906690e+06
8.180000e+02	6.910967e+06
8.190000e+02	6.874730e+06
8.200000e+02	6.850005e+06
8.210000e+02	6.889515e+06
8.220000e+02	6.827848e+06
8.230000e+02	6.836339e+06
8.240000e+02	6.810216e+06
8.250000e+02	6.883271e+06
8.260000e+02	6.845558e+06
8.270000e+02	6.874289e+06
8.280000e+02	6.901399e+06
8.290000e+02	6.799160e+06
8.300000e+02	6.823537e+06
8.310000e+02	6.828192e+06
8.320000e+02	6.828870e+06
8.330000e+02	6.832404e+06
8.340000e+02	6.799722e+06
8.350000e+02	6.808528e+06
8.360000e+02	6.782350e+06
8.370000e+02	6.811241e+06
8.380000e+02	6.817521e+06
8.390000e+02	6.744413e+06
8.400000e+02	6.716573e+06
8.410000e+02	6.758394e+06
8.420000e+02	6.743439e+06
8.430000e+02	6.815092e+06
8.440000e+02	6.791589e+06
8.450000e+02	6.797657e+06
8.460000e+02	6.770905e+06
8.470000e+02	6.678716e+06
8.480000e+02	6.744316e+06
8.490000e+02	6.753195e+06
8.500000e+02	6.758083e+06
8.510000e+02	6.745810e+06
